Ticker,Name,Roi,Std
ALUA.BA,Aluar,0.0009887163229633706,0.3183356374241199
BMA.BA,Banco Macro,0.0015023374298673694,-0.07493228261470976
BYMA.BA,Bolsas Y Mercados Argentinos S.A.,0.0010996669232876551,0.247684590106273
CEPU.BA,Central Puerto Sa,0.0011277024036135317,0.18837010348626632
COME.BA,Sociedad Comercial del Plata,0.0008921656238483275,-0.24341226725946355
CRES.BA,Cresud,0.0006073967273248442,0.2190975134544574
CVH.BA,Cablevisión Holding S.A.,0.0012350901922593947,-0.5446003335042945
EDN.BA,Edenor,0.0011007311199746983,0.24551965786274588
GGAL.BA,Grupo Financiero Galicia,0.001500863922902598,0.00646404425761769
MIRG.BA,Mirgor,0.0013017826165352196,-0.2089140579400244
PAMP.BA,Pampa Energía,0.0009954045893309337,0.05611918534048302
SUPV.BA,Grupo Supervielle S.A.,0.002196533985884932,-0.29503144366239187
TECO2.BA,Telecom Argentina,0.0007162631685050842,-0.008247789152145772
TGNO4.BA,Transportadora Gas del Norte,0.0012171780426710396,-0.12168645130645776
TGSU2.BA,Transportadora Gas del Sur,0.000995631675556493,0.4591932870185337
TRAN.BA,Transener,0.0014769401459549098,0.1717970433157033
VALO.BA,Grupo Financiero Valores S.A.,0.0014512209143363536,-0.13120889155667906
YPFD.BA,YPF,0.0007637269834640388,0.28004023076378576
MSFT,Microsoft Corporation,0.00031821741973385166,0.22378074119399283
AAPL,Apple Inc.,0.0003278374390731608,-0.03227730297328335
AMZN,Amazon.com Inc.,0.0005183923148437154,0.29843169044820195
FB,Facebook Inc. Class A,0.0005735337103458683,-0.25063020039667705
JPM,JPMorgan Chase & Co.,0.00019447849601399384,-0.053634637322740986
GOOG,Alphabet Inc. Class C,0.0003141274636223943,0.01130924084053675
GOOGL,Alphabet Inc. Class A,0.00031544667665685245,0.012783709641011498
JNJ,Johnson & Johnson,0.00019104698111687646,-0.024895522489752464
V,Visa Inc. Class A,0.00025515777708693863,0.18012851870103241
PG,Procter & Gamble Company,0.00014904123929358404,0.06697433650173634
XOM,Exxon Mobil Corporation,0.00018948253673813995,-0.15632003054998633
BAC,Bank of America Corp,0.00024191852158760818,-0.14498462920347976
T,AT&T Inc.,0.00021770950374917016,-0.21528536671823706
DIS,Walt Disney Company,0.0001696811092341958,0.017508376449488994
UNH,UnitedHealth Group Incorporated,0.00021257833740302378,0.15897724187031692
INTC,Intel Corporation,0.0004588543417480559,0.08355229113564933
MA,Mastercard Incorporated Class A,0.0003212915614717531,0.2620902009196723
VZ,Verizon Communications Inc.,0.00016458210616431465,0.1159725824773804
HD,Home Depot Inc.,0.00020443807495446956,-0.04230642634859805
CVX,Chevron Corporation,0.00023206822450962073,-0.09248322829487354
MRK,Merck & Co. Inc.,0.0001585119016268662,0.35689378864997146
WFC,Wells Fargo & Company,0.00021867157983475452,-0.22549765262184718
PFE,Pfizer Inc.,0.00015553091520773295,0.23516480883316226
KO,Coca-Cola Company,0,000089,0.08414536239139792
CMCSA,Comcast Corporation Class A,0.0003105073506365142,-0.12609006970611358
BA,Boeing Company,0.00039181731361489434,0.1511867011329051
CSCO,Cisco Systems Inc.,0.00027824589698890345,0.17353855771896642
PEP,PepsiCo Inc.,0.00013469198633068443,-0.016903281457025132
WMT,Walmart Inc.,0.00022922133472494892,-0.004610757803383714
C,Citigroup Inc.,0.00022903676427373808,-0.30575727018993315
MDT,Medtronic Plc,0.0001565631196988192,0.14293925297082732
ABT,Abbott Laboratories,0.0001982665635829103,0.25021503111763965
MCD,McDonald's Corporation,0.00017120007545145508,0.07104615186963437
ADBE,Adobe Inc.,0.0005007073846072552,0.303916203275561
CRM,Salesforce.com Inc.,0.00046133938279084254,0.32903791887269296
AMGN,Amgen Inc.,0.00022458202442102057,0.15223570062413483
NFLX,Netflix Inc.,0.0008503638746392232,0.39212077823719016
COST,Costco Wholesale Corporation,0.00019831328679854965,0.1139999658957147
PM,Philip Morris International Inc.,0.0003056544828222454,-0.35297360853351767
ABBV,AbbVie Inc.,0.0004923030577440314,0.034277406218419126
NVDA,NVIDIA Corporation,0.0009598833212779227,-0.27454783055387855
HON,Honeywell International Inc.,0.00014845671786629916,-0.0693321230276549
ACN,Accenture Plc Class A,0.00021496567870483003,-0.04224604974637636
AVGO,Broadcom Inc.,0.0004932945207691352,0.04531190369307747
ORCL,Oracle Corporation,0.0002578371965036362,0.016350563805589302
TMO,Thermo Fisher Scientific Inc.,0.00020801722081362597,0.17708040987845797
UNP,Union Pacific Corporation,0.0002587145243361348,0.07107352372569198
PYPL,PayPal Holdings Inc,0.00045770891991926964,0.18707027909126495
UTX,United Technologies Corporation,0.00019915612168022094,-0.13809353976000094
